number,previousName,currentName,address,age,category
5A066,松韵别墅、群贤小学,松韵别墅,复兴路498弄1-8、10、11号,1921,三
5A067,住宅,住宅,永嘉路37号,1922,三
5A068,环龙别业、环龙里,南昌路 212、244 弄小区,南昌路212、244弄,1925(212弄)，1928(244弄),三
5A069,上海律师公会会所,银行博物馆,复兴中路301号,1925,四
5A070,上海儿科疗养院,向明初级中学,巨鹿路334号,不详,三
5A071,首善堂,"上海市黄浦区人民代表大会常务委员会
中国人民政协上海市黄浦区委员会",重庆南路139号,1925,二
5A072,公董局公共卫生救济处医学化验所,中国疾病预防控制中心寄生虫病预防控制所,瑞金二路207号,1925,三
5A073,上海银行,上海小楼/滇池小区,江西中路372-390号，北京东路205-217号,1929,三
5A074,鸿裕纺织有限公司大楼,住宅,江西中路441-445号,1921,三
5A075,美国陆海军青年会,海青大楼,香港路85号,1923,四
5A076,马可尼公司,住宅,北京东路131号,1920年代,三
5A077,上海法租界麦兰捕房/上海市警察局黄浦分局（1943）,上海市公安局黄浦分局,金陵东路174号,1935,二
5A078,住宅,住宅,自忠路414-454号,1910-1920年代,三
5A079,花园住宅,住宅,复兴中路492号,1934,三
5A080,住宅,住宅,香山路9号,1921,三
5A081,天祥实业股份有限公司、上海顾天盛花厂,南苏河创意园区,南苏州路1295号-1305号,1933,三
5A082,南市发电厂,上海当代艺术博物馆,花园港路200号,1980年代,三
5A083,白克路,长征医院办公室,凤阳路450号,1920年代,二
1C001,步高里,步高里,陕西南路287号,1920,三
1C002,瑞金二路住宅,瑞金宾馆1号楼,瑞金二路18号,1917,二
1C003,尚贤坊,尚贤坊,淮海中路50号,1924,三
1C004,华懋公寓,锦江宾馆北楼,长乐路109号,1929,二
